la-maintained-school-eng	school-type	foundation-trust	school-federation
101732	1		
101733	1		
101734	1		
101735	1		
101736	1		
101737	1		
101738	1		
101739	1		
101740	1		
101741	1		
101742	1		
101743	1		
101744	1		
101745	1		
101746	1		
101747	1		
101748	1		
101749	1		
101750	1		
101751	1		
101752	1		
101753	1		
101754	1		
101755	1		
101756	1		
101757	1		
101758	1		
101759	1		
101760	1		
101761	1		
101762	1		
101763	1		
101764	1		
101765	1		
101766	1		
101767	5		
101768	1		
101769	1		
101770	1		
101771	1		
101772	1		
101773	1		
101774	1		
101775	1		
101776	1		The Federation of Heavers Farm and Selsdon Primary Schools
101777	1		
101778	1		
101779	1		
101780	1		
101781	1		
101782	1		
101783	1		
101784	1		
101785	1		
101786	1		
101787	2		
101788	2		
101789	3		
101790	2		
101791	2		
101792	2		
101793	2		
101794	2		
101795	2		The Federation of St Joseph's Infant & Nursery & St Joseph's Junior Schools
101796	2		
101797	2		
101798	2		
101799	2		
101800	2		The Federation of St Elphege's RC School
101801	2		
101802	2		
101803	2		The Federation of St Joseph's Infant & Nursery & St Joseph's Junior Schools
101804	1		
101805	1		
101806	5		
101807	1		
101808	1		
101809	5		
101810	1		
101811	2		
101812	2		
101813	2		
101814	2		
101815	5	The Bourne Foundation	The Federation of Heavers Farm and Selsdon Primary Schools
101816	2		
101817	5		
101818	5		
101819	5		
101820	2		
101821	2		
101822	5		
101823	2		
101824	5		
101825	5		
101826	5		
101851	7		
101852	7		
101853	7		
101854	7		
101855	7		
101856	7		
101858	15		
101859	15		
101860	15		
101861	15		
101862	15		
101863	14		
101864	14		
101865	14		
101866	1		
101867	1		
101868	1		
101869	1		
101870	1		
101871	1		
101872	1		
101873	1		
101874	1		
101875	1		
101876	1		
101877	1		
101878	1		
101879	1		
101880	1		
101881	1		
101882	1		
101883	1		
101884	1		
101885	1		
101886	1		
101887	1		
101888	1		
101889	1		
101890	1		
101891	1		
101892	1		
101893	1		
101894	1		
101895	1		
101896	1		
101897	1		
101898	1		
101899	1		
101900	1		
101901	1		
101902	1		
101903	1		
101904	1		
101905	1		
101906	1		
101907	1		
101908	1		
101909	1		
101910	1		
101911	1		
101912	1		
101913	1		
101914	1		
101915	5		
101916	1		
101917	2		
101918	2		
101919	2		
101920	2		
101921	2		
101922	2		
101923	2		
101924	2		
101925	2		
101926	2		
101927	2		
101928	5		
101929	1		
101930	1		
101931	1		
101932	1		
101933	2		
101934	2		
101935	5		
101936	5		
101937	5		
101938	5		
101939	5		
101940	5		
101941	5		
101942	5		
101943	5		
101965	7		
101966	7		
101967	7		
101968	7		
101969	7		
101970	7		
101971	7		
101972	14		
101973	14		
101974	14		
101975	14		
101976	14		
101977	1		
101978	1		
101979	1		
101980	1		
101981	1		
101982	1		
101983	1		
101984	1		
101985	1		
101986	1		
101987	1		
101988	1		
101989	1		
101990	1		
101991	1		
101992	1		
101993	1		
101994	1		
101995	1		
101996	1		The Hazel Wood Federation
101997	1		The Hazel Wood Federation
101998	1		
101999	1		
102000	1		
102001	1		
102002	1		
102003	1		The Raglan Schools
102004	1		The Raglan Schools
102005	1		
102006	1		
102007	1		
102008	1		
102009	1		
102010	1		
102011	1		The Field Federation of Churchfield and Houndsfield Primary Schools
102012	1		
102013	1		
102014	1		
102015	1		
102016	1		
102017	1		
102018	5		
102019	1		The Field Federation of Churchfield and Houndsfield Primary Schools
102020	1		
102021	1		
102022	1		
102023	1		
102024	1		
102025	1		
102026	2		
102027	2		
102028	2		
102029	2		
102030	2		
102031	2		
102032	2		
102033	2		
102034	2		
102035	2		
102036	2		
102037	2		
102038	2		
102039	2		
102040	2		
102041	2		
102042	2		
102043	1		
102044	1		
102045	1		
102046	1		
102047	1		
102048	1		
102049	1		
102050	1		
102051	1		
102052	2		
102053	2		
102054	2		
102055	2		
102056	5		
102057	5		
102058	2		
102059	5		
102066	7		
102067	7		
102068	7		
102069	7		
102070	7		
102071	15		
102072	15		
102073	15		
102074	15		
102075	14		
102076	1		
102077	1		
102078	1		
102079	1		
102080	1		Federation of Bounds Green Infant &. Bounds Green Junior School
102081	1		Federation of Bounds Green Infant &. Bounds Green Junior School
102082	1		
102083	1		
102084	1		Campsbourne School
102085	1		Campsbourne School
102086	1		
102087	1		
102088	1		
102089	1		
102090	1		
102091	1		
102092	1		
102093	1		
102094	1		
102095	1		
102096	1		
102097	1		
102098	1		
102099	1		
102100	1		
102101	1		
102102	1		
102103	1		
102104	1		
102105	1		
102106	1		
102107	1		
102108	1		
102109	1		
102110	1		South Harringay School
102111	1		South Harringay School
102112	1		
102113	1		
102114	1		
102115	1		
102116	1		
102117	1		
102118	1		
102119	1		
102120	1		
102121	1		
102122	1		
102123	1		
102124	1		
102125	1		
102126	1		
102127	1		
102128	1		
102129	1		
102130	1		
102131	1		
102132	3		
102133	2		
102134	2		
102135	2		
102136	2		
102137	2		
102138	2		
102139	2		
102140	2		
102141	2		
102142	2		
102143	2		St Francis De Sales Catholic Infant and Junior School Federation
102144	2		
102145	2		St Mary's Priory Catholic Infant and Junior Schools
102146	2		
102147	2		St Mary's Priory Catholic Infant and Junior Schools
102148	2		
102149	2		St Francis De Sales Catholic Infant and Junior School Federation
102150	2		
102151	2		
102152	2		
102153	1		
102154	1		
102155	1		
102156	5		
102157	1		
102158	1		
102159	1		
102160	2		
102161	2		
102167	2		
102175	7		
102176	7		
102177	7		
102178	7		
102179	7		
102180	14		
102181	1		
102182	1		
102183	1		
102184	1		
102185	1		
102186	1		
102187	1		
102188	1		
102189	1		
102190	1		
102191	1		
102192	1		
102193	1		
102194	1		
102195	1		
102196	1		
102197	1		
102198	1		
102199	1		
102200	1		
102201	1		
102202	1		
102203	1		
102204	1		
102205	1		
102206	1		
102207	1		
102208	1		
102209	1		
102210	1		
102211	1		
102212	1		
102213	1		
102214	1		
102215	1		
102216	1		
102217	1		
102218	1		
102219	1		
102220	1		
102221	1		
102222	1		
102223	1		
102224	1		
102225	1		
102226	1		
102227	2		
102228	2		
102229	2		
102230	2		
102231	2		
102232	2		
102233	2		
102234	2		
102235	1		
102236	1		
102237	1		
102238	1		
102239	1		
102240	1		
102241	1		
102242	1		
102243	2		
102244	2		
102259	7		
102260	7		
102261	7		
102262	7		
102263	14		
102264	14		
102265	14		
102266	1		
102267	1		
102268	1		
102269	1		
102270	1		
102271	1		
102272	1		
102273	1		
102274	1		
102275	1		
102276	1		
102277	1		
102278	1		
102279	1		
102280	1		
102281	1		
102282	1		
102283	1		
102284	1		
102285	1		
102286	1		
102287	1		
102288	1		
102289	1		
102290	1		
102291	1		
102292	1		
102293	1		
102294	1		
102295	1		
102296	1		
102297	1		
102298	1		
102299	1		
102300	1		
102301	1		
102302	1		
102303	1		
102304	1		
102305	1		
102306	1		
102307	1		
102308	1		
102309	1		The Governing Body of Towers Schools
102310	1		
102311	1		
102312	1		
102313	1		The Governing Body of Towers Schools
102314	1		
102315	1		
102316	1		
102317	1		The Learning Federation
102318	1		
102319	1		
102320	1		
102321	1		
102322	1		The Learning Federation
102323	1		
102324	1		
102325	1		
102326	1		
102327	3		
102328	2		
102329	2		
102330	2		
102331	2		
102332	2		
102333	2		
102334	2		
102335	2		
102336	2		
102337	5		
102338	1		
102339	5		
102340	1		
102341	5		
102342	5		
102343	5		
102344	1		
102345	5		
102346	5		
102347	1		
102348	1		
102349	2		
102350	2		
102351	5		
102352	5		
102353	2		
102354	2		
102362	12		
102363	7		
102364	7		
102365	15		
102366	14		
102367	1		
102368	1		
102369	1		
102370	1		
102371	1		
102372	1		
102373	1		
102374	1		
102375	1		
102376	1		
102377	1		
102378	1		
102379	1		
102380	1		
102381	1		
102382	1		
