location	point
school:100421	[51.56492,-0.11233]
school:100422	[51.54475,-0.12175]
school:100423	[51.53860,-0.09026]
school:100424	[51.53860,-0.09026]
school:100425	[51.54084,-0.10993]
school:100426	[51.53537,-0.11334]
school:100427	[51.54208,-0.10127]
school:100428	[51.53235,-0.11805]
school:100429	[51.56121,-0.13041]
school:100430	[51.55445,-0.12957]
school:100431	[51.55394,-0.09187]
school:100432	[51.57366,-0.12419]
school:100433	[51.57250,-0.13341]
school:100434	[51.52167,-0.09338]
school:100435	[51.54869,-0.12659]
school:100436	[51.52848,-0.11021]
school:100437	[51.55033,-0.11353]
school:100438	[51.53397,-0.10405]
school:100439	[51.56262,-0.13305]
school:100440	[51.55819,-0.10077]
school:100441	[51.56861,-0.14169]
school:100442	[51.54759,-0.07950]
school:100443	[51.52657,-0.09192]
school:100444	[51.56436,-0.12094]
school:100445	[51.54735,-0.10982]
school:100446	[51.53962,-0.10029]
school:100447	[51.52483,-0.10087]
school:100448	[51.53819,-0.11462]
school:100449	[51.55660,-0.09700]
school:100450	[51.56637,-0.11503]
school:100451	[51.53648,-0.11903]
school:100452	[51.54984,-0.09790]
school:100453	[51.55364,-0.12992]
school:100454	[51.53622,-0.09765]
school:100455	[51.55280,-0.10153]
school:100456	[51.56707,-0.11590]
school:100457	[51.53295,-0.11265]
school:100458	[51.52526,-0.08585]
school:100459	[51.56977,-0.13878]
school:100460	[51.56780,-0.12966]
school:100461	[51.52224,-0.09785]
school:100462	[51.52464,-0.10049]
school:100463	[51.52038,-0.09888]
school:100464	[51.55872,-0.09636]
school:100465	[51.57217,-0.11866]
school:100466	[51.53090,-0.09162]
school:100467	[51.53605,-0.09850]
school:100468	[51.53461,-0.10163]
school:100469	[51.54900,-0.09780]
school:100470	[51.56576,-0.13230]
school:100471	[51.53807,-0.09396]
school:100472	[51.52061,-0.20684]
school:100473	[51.51392,-0.22001]
school:100474	[51.48517,-0.16941]
school:100475	[51.52031,-0.20584]
school:100476	[51.51392,-0.22001]
school:100477	[51.48137,-0.17891]
school:100478	[51.52332,-0.21649]
school:100479	[51.52137,-0.20816]
school:100480	[51.49022,-0.18612]
school:100481	[51.51476,-0.20316]
school:100482	[51.50732,-0.19691]
school:100483	[51.49273,-0.16605]
school:100484	[51.52580,-0.21199]
school:100485	[51.51684,-0.21898]
school:100486	[51.48415,-0.17796]
school:100487	[51.51066,-0.21380]
school:100488	[51.51573,-0.21126]
school:100489	[51.48541,-0.16432]
school:100490	[51.49345,-0.15675]
school:100491	[51.49050,-0.17009]
school:100492	[51.52391,-0.20897]
school:100493	[51.49764,-0.19845]
school:100494	[51.51222,-0.21698]
school:100495	[51.50908,-0.21135]
school:100496	[51.49290,-0.16216]
school:100497	[51.50212,-0.19222]
school:100498	[51.48944,-0.19364]
school:100499	[51.52509,-0.21080]
school:100500	[51.48517,-0.18380]
school:100501	[51.50472,-0.20112]
school:100502	[51.49290,-0.16216]
school:100503	[51.52018,-0.21487]
school:100504	[51.49281,-0.17943]
school:100505	[51.52133,-0.21517]
school:100506	[51.50389,-0.21174]
school:100507	[51.48616,-0.18655]
school:100508	[51.49397,-0.17916]
school:100509	[51.47736,-0.20223]
school:100510	[51.50616,-0.21168]
school:100511	[51.49473,-0.17836]
school:100512	[51.49531,-0.17678]
school:100513	[51.51829,-0.21761]
school:100514	[51.49455,-0.16147]
school:100515	[51.49920,-0.18559]
school:100516	[51.49279,-0.18270]
school:100517	[51.49735,-0.16884]
school:100518	[51.49725,-0.16037]
school:100519	[51.51125,-0.19567]
school:100520	[51.49117,-0.18128]
school:100521	[51.49732,-0.15973]
school:100522	[51.48977,-0.15788]
school:100523	[51.48766,-0.27310]
school:100524	[51.49799,-0.18299]
school:100526	[51.49600,-0.17969]
school:100527	[51.49490,-0.20936]
school:100528	[51.43854,-0.46826]
school:100529	[51.50032,-0.11611]
school:100530	[51.47433,-0.17431]
school:100531	[51.51151,-0.19350]
school:100532	[51.52036,-0.20885]
school:100533	[51.49647,-0.16291]
school:100534	[51.49881,-0.18804]
school:100535	[51.48512,-0.17090]
school:100536	[51.51121,-0.18970]
school:100537	[51.50271,-0.18946]
school:100538	[51.48559,-0.17517]
school:100539	[51.49226,-0.18839]
school:100540	[51.49343,-0.17918]
school:100541	[51.52083,-0.14493]
school:100542	[51.51071,-0.19866]
school:100543	[51.50138,-0.17334]
school:100544	[51.50883,-0.19653]
school:100545	[51.51971,-0.21693]
school:100546	[51.48169,-0.18703]
school:100547	[51.49531,-0.17678]
school:100548	[51.39567,0.19642]
school:100549	[51.48426,-0.18146]
school:100550	[51.46080,-0.13317]
school:100551	[51.45723,-0.10950]
school:100552	[51.49096,-0.11209]
school:100553	[51.45156,-0.13214]
school:100554	[51.44752,-0.12001]
school:100555	[51.43829,-0.10329]
school:100556	[51.48201,-0.11494]
school:100557	[51.45314,-0.13967]
school:100558	[51.45314,-0.13967]
school:100559	[51.46876,-0.09409]
school:100560	[51.46441,-0.13756]
school:100561	[51.47440,-0.11139]
school:100562	[51.45723,-0.10950]
school:100563	[51.42838,-0.09742]
school:100564	[51.41451,-0.14225]
school:100565	[51.46114,-0.13055]
school:100566	[51.47012,-0.14317]
school:100567	[51.44474,-0.14281]
school:100568	[51.48472,-0.11189]
school:100569	[51.48472,-0.11189]
school:100570	[51.43609,-0.11499]
school:100571	[51.43609,-0.11499]
school:100572	[51.45990,-0.10143]
school:100573	[51.50071,-0.11141]
school:100574	[51.42697,-0.09042]
school:100575	[51.47021,-0.13013]
school:100576	[51.47067,-0.12973]
school:100577	[51.42196,-0.08119]
school:100578	[51.44809,-0.12696]
school:100579	[51.44658,-0.09681]
school:100580	[51.44658,-0.09681]
