school-eng	name	address	minimum-age	maximum-age	school-capacity	headteacher	school-type	start-date	end-date
117286	Dundale Primary School and Nursery	100081313734	3	11	240	Mr Simon King	Local authority maintained		
117287	Crabtree Junior School	100081155829	7	11	256	Mr Ian Pattrick	Local authority maintained		2014-03-31
117288	Redbourn Junior School	100081153869	7	11	240	Mr Nathan Hairon	Local authority maintained		
117289	Arnett Hills Junior Mixed and Infant School	200000938389	4	11	210	Miss T Ali	Local authority maintained		
117290	Holywell Primary School	200000930244	3	11	630	Mr Coert Van Straaten	Local authority maintained		
117291	The Firs Junior School	100081159563	7	11	240	Mrs M C Thurley	Local authority maintained		2005-12-31
117292	Trotts Hill Primary and Nursery School	10070251352	4	11	243	Miss Colette Pidgeon	Local authority maintained		
117293	Cassiobury Infant and Nursery School	10090229043	3	7	270	Mrs Emma Edwards	Local authority maintained		
117294	Panshanger Primary School	100081156442	3	11	240	Mrs Sarah Holt	Local authority maintained		
117295	Bovingdon Infants' School	100081313168	5	7			Local authority maintained		1998-09-01
117296	Bournehall Primary School	10034170745	4	11	240	Mrs Jill Litchfield	Local authority maintained		
117297	Mill Mead Primary School	10033098908	3	11	210	Mrs Sue Nesbitt-Larking	Local authority maintained		
117298	Maple Primary School	200003641217	4	11	215	Mr Timothy Bowen	Local authority maintained		
117299	Round Diamond Primary School	10023323220	3	11	420	Mrs Zoe Phillips	Local authority maintained		
117300	Hartsbourne Primary School	10034170885	4	11	210	Mrs Valerie Hudson	Local authority maintained		
117301	Beech Hyde Primary School and Nursery	200003641555	3	11	240	Miss Hazel Millard	Local authority maintained		
117302	Andrews Lane Primary School	148004105	3	11	246	Mrs Emma Devally	Local authority maintained		
117303	Newberries Primary School	10034169327	4	11	210	Ms Ness Peters	Local authority maintained		
117304	Rickmansworth Park Junior Mixed and Infant School	200000939091	5	11	210	Mrs Peta Dyke	Local authority maintained		
117305	Mandeville Primary School	100081149771	3	11	210	Miss Kara Hales	Local authority maintained		
117306	Giles Junior School	200000586798	7	11	240	Mrs Heather Davies	Local authority maintained		
117307	The Cranbourne Primary School	148034021	4	11	497	Mrs Rachel Semark	Local authority maintained		2016-08-31
117308	Bromet Primary School	100081283750	5	11	280	Mrs Maria Pace	Local authority maintained		
117309	Millfield First and Nursery School	100081260473	3	9	210	Mrs Kathy Willett	Local authority maintained		
117310	Hillmead Primary School	10033093691	3	11	250	Mrs S L Keefe	Local authority maintained		
117311	Nascot Wood Junior School	200000931022	7	11	240	Mrs Christina Singh	Local authority maintained		
117312	Crabtree Infants' School	100081155817	5	7	180	Mrs Jane Whitehurst	Local authority maintained		2014-03-31
117313	The Ryde School	200003858725	3	11	210	Mrs Sue Thompson	Local authority maintained		
117314	William Ransom Primary School	200001853408	4	11	288	Mrs Mary Driver	Local authority maintained		
117315	Prae Wood Primary School	100081153263	3	11	395	Mrs Jackie Stephenson	Local authority maintained		
117316	The Giles Infant and Nursery School	10070251705	3	7	360	Mrs Rouane Mendel	Local authority maintained		
117317	Kingsway Infants' School	200000931011	5	7	180	Mrs Caroline Tristram-Walmsley	Local authority maintained		
117318	Alban Wood Infant and Nursery School	100081288173	3	7	128	Mrs Y Davis	Local authority maintained		2005-08-31
117319	Kingshill Infant School	200002765011	3	7	180	Mrs Catherine Reemer	Local authority maintained		
117320	Laurance Haines School	200000933530	3	11	420	Mr James Roach	Local authority maintained		2016-10-31
117321	Woodside Primary School	148000303	4	11	210	Dr Keith Richmond	Local authority maintained		
117322	Woolenwick Junior School	10070250077	7	11	240	Mr Mike Crabtree	Local authority maintained		
117323	Woolenwick Infant and Nursery School	200000587011	3	7	120	Ms Usha Dhorajiwala	Local authority maintained		
117324	Leavesden JMI School	100081288174	3	11	240	Mrs Victoria Lyon	Local authority maintained		
