address	parent-address	primary-address	street	name	name-cy	point	end-date
14C10T			23604251	6 ST PAULS R C PRIMARY SCHOOL		[53.4301511,-2.90164]	2010-10-04
14C6HS			23606687	LIVERPOOL HOPE UNIVERSITY COLLEGE		[53.3914909,-2.8919359]	
14C6RE			23604404	ST CHRISTOPHERS CATHOLIC PRIMARY SCHOOL		[53.3463285,-2.8452828]	
14C6ZP			23604411	HEY GREEN COMMUNITY PRIMARY SCHOOL		[53.4012898,-2.927246]	
14C84N			23604467	CLIFFORD HOLROYD SPECIAL SCHOOL		[53.4140439,-2.8895189]	2013-01-31
14C8JE			23604474	THE OLD SCHOOL HOUSE DAY NURSERY		[53.4157336,-2.8919615]	
14CAPJ			23604534	ST CHARLES CATHOLIC PRIMARY SCHOOL		[53.3758389,-2.9471663]	
14CC8W			23604593	BEAUFORT PARK PRIMARY SCHOOL		[53.3864237,-2.970105]	2013-01-31
14CCC9			23604597	ST PATRICKS R C PRIMARY SCHOOL		[53.3926217,-2.9695393]	2010-10-04
14CCCA			23604597	WINDSOR COMMUNITY PRIMARY SCHOOL		[53.3928187,-2.9674084]	
14CDND	14GNPD		23604615	ST TERESAS CATHOLIC JUNIOR SCHOOL		[53.4458636,-2.9225705]	2010-10-04
14CDNE	14GNPD	14GNPD	23604615	ST TERESAS R C INFANTS PRIMARY SCHOOL		[53.4460896,-2.9212021]	2010-10-04
14CJ16			23604726	MUCH WOOLTON R C PRIMARY SCHOOL		[53.3733951,-2.8602634]	2010-10-04
