academy-school-eng	school-type	academy-trust	school-trust-join-date	academy-sponsor
140477	34		2013-01-12	Askel Veur - Diocese of Truro
140478	34		2013-01-12	The Hamwic Trust
140482	28		2016-01-09	British Telecom
140483	28		2014-01-09	Active Learning Trust (ALT)
140484	28	company:08335073	2015-01-09	Diocese of London
140489	28	company:08452281	2015-01-09	REAch2
140490	28	company:08452281	2015-01-09	REAch2
140493	28	company:07185046	2014-01-01	University of Brighton
140498	28		2014-01-09	The Boston Witham Academies Federation
140499	34	company:08006711	2014-01-01	
140500	34	company:08718062	2014-01-01	ConcertEd
140501	34	company:08787650	2014-01-01	
140502	34	company:08779660	2014-01-01	Leigh Junior Infant & Nursery School
140503	34	company:08803924		
140504	34	company:08803916		
140505	34	company:08803858		
140506	34	company:08709542	2016-01-09	Diocese of Chelmsford
140507	34	company:08791046		
140508	34	company:08749901		
140509	34	company:07768726	2014-01-01	Bourne Education Trust
140510	34	company:08591532		
140511	34	company:08792831		
140512	34	company:07542166	2014-01-01	Saltash Multi Academy Regional Trust
140513	34	company:08156955	2014-01-01	
140514	34	company:08156955	2014-01-01	
140515	34	company:04439859	2014-01-01	United Learning
140516	34		2014-01-01	The Hamwic Trust
140517	34	company:08795464		
140518	34	company:08601624		
140519	34	company:07189647	2014-01-01	Northern Education Trust
140520	34	company:08176019	2014-01-01	Kent Catholic Schools Partnership (KCSP)
140521	34	company:07343725	2014-01-01	Fulston Manor Academies Trust
140522	34	company:08748904	2014-01-01	
140523	34	company:08748904	2014-01-01	
140524	34	company:08706247	2014-01-01	The John Paul II MAC (Sutton Coldfield)
140525	34	company:08706247	2014-01-01	The John Paul II MAC (Sutton Coldfield)
140526	34	company:08802427		
140527	34	company:08810960		
140528	34	company:08706247	2014-01-01	The John Paul II MAC (Sutton Coldfield)
140529	34	company:08706247	2014-01-01	The John Paul II MAC (Sutton Coldfield)
140530	34	company:07365748	2014-01-01	Tudor Grange Academies Trust
140531	44	company:08738846		
140532	34	company:08792911		
140533	34	company:08754658		
140534	34	company:07946986	2014-01-01	Transforming Education in Norfolk (the TEN Group)
140535	34	company:08062508	2014-01-01	The Diamond Learning Partnership Trust
140536	34	company:08066610	2016-01-01	The Legra Academy Trust
140537	34	company:08176019	2014-01-01	Kent Catholic Schools Partnership (KCSP)
140538	34	company:08006711	2014-01-01	
140539	34		2014-01-01	Pride Multi Academy Trust
140540	34	company:08798425		
140541	34	company:08803871		
140542	40	company:07652401		
140544	28	company:08296921	2014-01-02	L.E.A.D. Multi-Academy Trust
140545	28	company:08737435	2014-01-02	Diocese of Norwich Education Academies Trust
140546	28	company:08745639	2015-01-02	Diocese of Sheffield Trust
140547	28	company:07697171	2014-01-09	Tapton School Academy trust
140548	28	company:07353824	2014-01-04	The Spencer Academies Trust
140549	28	company:08738949	2014-01-02	Diocese of Southwell & Nottingham
140550	28	company:07353824	2014-01-02	The Spencer Academies Trust
140551	28	company:06182612	2015-01-02	David Ross Education Trust (DRET)
140553	28	company:08833508	2014-01-08	Wickersley Partnership Trust
140555	28	company:04544722	2014-01-02	Djanogly Learning Trust
140556	28	company:08143249	2014-01-02	Diocese of Oxford
140557	28	company:07546118	2014-01-02	West Norfolk Academies Trust
140558	28		2014-01-02	Bishop Konstant Catholic Academy Trust
140559	28	company:08822760	2014-01-05	Cidari Trust
140560	28	company:08656655	2014-01-02	Diocese of Salisbury
140561	28	company:08656655	2014-01-02	Diocese of Salisbury
140562	28	company:08735454	2014-01-03	Belgrave St Bartholomew's Academy
140563	28	company:08806335	2014-01-02	Ebor Academy Trust
140570	40	company:07653629		
140573	28		2014-01-03	Active Learning Trust (ALT)
140574	34	company:08840094	2014-01-02	The Aspire Multi-Academy Trust
140575	34	company:07835788	2014-01-02	Beal High School
140576	34	company:08842867	2014-01-02	
140577	34	company:08842867	2014-01-02	
140578	44	company:08789220		
140579	34	company:08840373	2014-01-02	The Harmony Trust
140580	34	company:08786136		
140581	34	company:08056907	2014-01-02	Enquire Learning Trust
140582	34	company:08842867	2014-01-02	
140583	34	company:07033915	2014-01-02	Maltby Learning Trust
140584	34	company:08842629	2014-01-02	Newbottle Primary School
140585	34	company:08820308		
140586	34	company:08255492	2014-01-02	Education Central Multi Academy Trust
140587	34	company:08683500		
140588	34			
140589	34	company:08441646		
140590	34			
140591	34	company:08840094	2014-01-02	The Aspire Multi-Academy Trust
140592	34	company:08833097		
140593	34	company:08830753		
140594	34	company:08811135		
140595	34	company:08813021		The Skinners' Company
140596	34	company:08119703	2014-01-02	Mercia Learning Trust
140597	34	company:08144578	2014-01-02	Bright Tribe Trust
140598	34	company:07346144	2016-01-09	The Fallibroome Academy
140599	34	company:08056907	2015-01-09	Enquire Learning Trust
140600	40	company:07912940		
140601	28	company:08182235	2014-01-09	Diocese of London
140602	34	company:07917752	2014-01-02	St Marys Academy Trust
140605	28	company:07348231	2014-01-11	Kemnal Academy Trust, The (TKAT)
140606	28	company:07359755	2014-01-03	The Thinking Schools Academy Trust
140607	28	company:07359755	2014-01-03	The Thinking Schools Academy Trust
140608	28		2014-01-07	Launde Primary School
140609	28	company:08506178	2014-01-03	Brigantia Learning Trust
140610	28	company:08506178	2014-01-03	Brigantia Learning Trust
140611	28	company:08452281	2015-01-09	REAch2
140612	28	company:07614421	2014-01-04	The Heath Family Trust
140613	28	company:07353824	2014-01-05	The Spencer Academies Trust
140622	28	company:07482650	2014-01-04	Linton Village College
140625	28	company:07386086	2014-01-04	School Partnership Trust Academies (SPTA)
140627	43	company:08010464	2015-01-02	The Rowan Learning Trust
140628	28	company:08149829	2014-01-04	EMLC Academy Trust
140629	34	company:08538844	2014-01-03	Diocese of Exeter
140630	34		2014-01-03	
140631	34	company:08767576	2014-01-03	
140632	34		2014-01-03	
140633	34	company:07272906	2014-01-03	Stoke-on-Trent College
140634	34	company:08116706	2014-01-03	The Elliot Foundation Academies Trust
140635	34		2014-01-03	
140636	34	company:08767576	2014-01-03	
140637	34	company:08076374	2014-01-03	The Flying High Trust
140638	34	company:07900532	2014-01-03	
140639	34	company:08842936		
140640	34	company:08176019	2014-01-03	Kent Catholic Schools Partnership (KCSP)
140641	34	company:08176019	2014-01-03	Kent Catholic Schools Partnership (KCSP)
