urn	establishment-type	establishment-group-type
117059	Community Special School	Special schools
117060	Community Special School	Special schools
117061	Community Special School	Special schools
117062	Community Special School	Special schools
117063	Non-Maintained Special School	Special schools
117064	Non-Maintained Special School	Special schools
117065	LA Nursery School	LA maintained schools
117066	LA Nursery School	LA maintained schools
117067	LA Nursery School	LA maintained schools
117068	LA Nursery School	LA maintained schools
117069	LA Nursery School	LA maintained schools
117070	LA Nursery School	LA maintained schools
117071	LA Nursery School	LA maintained schools
117072	LA Nursery School	LA maintained schools
117073	LA Nursery School	LA maintained schools
117074	LA Nursery School	LA maintained schools
117075	LA Nursery School	LA maintained schools
117076	LA Nursery School	LA maintained schools
117077	LA Nursery School	LA maintained schools
117078	LA Nursery School	LA maintained schools
117079	LA Nursery School	LA maintained schools
117080	LA Nursery School	LA maintained schools
117081	LA Nursery School	LA maintained schools
117082	Pupil Referral Unit	LA maintained schools
117083	Community School	LA maintained schools
117084	Community School	LA maintained schools
117085	Community School	LA maintained schools
117086	Community School	LA maintained schools
117087	Community School	LA maintained schools
117088	Community School	LA maintained schools
117089	Community School	LA maintained schools
117090	Community School	LA maintained schools
117091	Community School	LA maintained schools
117092	Community School	LA maintained schools
117093	Community School	LA maintained schools
117094	Community School	LA maintained schools
117095	Community School	LA maintained schools
117096	Community School	LA maintained schools
117097	Community School	LA maintained schools
117098	Community School	LA maintained schools
117099	Community School	LA maintained schools
117100	Community School	LA maintained schools
117101	Community School	LA maintained schools
117102	Community School	LA maintained schools
117103	Community School	LA maintained schools
117104	Community School	LA maintained schools
117105	Community School	LA maintained schools
117106	Community School	LA maintained schools
117107	Community School	LA maintained schools
117108	Community School	LA maintained schools
117109	Community School	LA maintained schools
117110	Community School	LA maintained schools
117111	Community School	LA maintained schools
117112	Community School	LA maintained schools
117113	Community School	LA maintained schools
117114	Community School	LA maintained schools
117115	Community School	LA maintained schools
117116	Community School	LA maintained schools
117117	Community School	LA maintained schools
117118	Community School	LA maintained schools
117119	Community School	LA maintained schools
117120	Community School	LA maintained schools
117121	Community School	LA maintained schools
117122	Community School	LA maintained schools
117123	Community School	LA maintained schools
